"Canada - Admissions of Permanent Residents by Country of Citizenship (Q1-Q2 2016 ranking), 1980 - Q2 2016*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Citizenship,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q2 2016
Bulgaria, 24 , 20 , 12 , 33 , 11 , 24 , 33 , 52 , 43 , 85 , 172 , 611 ," 1,116 ", 965 , 687 , 762 , 825 , 732 , 779 , 832 ,"1,170","1,283","1,517","1,507","2,021","1,737","1,419","1,172",994,784,556,365,451,512,451,371,213
Myanmar (Burma), 80 , 62 , 46 , 31 , 41 , 23 , 18 , 33 , 55 , 77 , 133 , 104 , 62 , 100 , 172 , 199 , 229 , 205 , 68 , 98 ,120,113,159,262,191,207,952,"1,887",975,"1,152",556,365,193,262,440,439,211
"Sudan, Democratic Republic of", 20 , 12 , 11 , 7 , 23 , 32 , 57 , 43 , 54 , 98 , 151 , 230 , 510 , 432 , 361 , 492 , 714 , 832 , 639 , 589 ,911,"1,104","1,496","1,870","1,827","1,310","1,039",684,620,422,613,530,444,343,484,359,210
Libya, 5 , 7 , 9 , 24 , 10 , 31 , 23 , 81 , 43 , 77 , 47 , 86 , 89 , 85 , 74 , 116 , 128 , 156 , 113 , 157 ,208,228,210,153,197,196,281,198,306,282,384,352,299,255,298,244,208
Honduras, 26 , 33 , 30 , 68 , 65 , 69 , 81 , 135 , 111 , 138 , 187 , 688 , 840 , 551 , 291 , 270 , 299 , 225 , 167 , 173 ,201,180,143,105,133,166,165,165,185,169,385,538,436,350,402,422,200
"Trinidad and Tobago, Republic of", 958 , 947 , 972 , 766 , 606 , 699 , 955 ," 1,676 "," 2,218 "," 3,054 "," 2,843 "," 3,026 "," 4,374 "," 4,246 "," 2,338 "," 2,591 "," 2,198 "," 1,748 "," 1,189 "," 1,166 ",899,903,928,706,731,857,794,975,"1,002","1,135",914,588,579,427,430,348,188
"Guinea, Republic of", 0 , 3 , 3 , 6 , 4 , 3 , 5 , 14 , 12 , 17 , 10 , 44 , 36 , 32 , 16 , 49 , 61 , 38 , 107 , 100 ,168,177,205,196,281,255,341,415,327,347,395,353,406,462,365,244,184
Slovak Republic, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 113 , 103 , 143 , 232 , 236 , 289 , 500 ,460,585,615,501,597,369,241,215,125,128,135,134,136,105,161,208,183
Belarus, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 40 , 114 , 118 , 156 , 349 , 540 , 426 ,515,430,435,435,543,558,439,568,524,454,438,357,277,247,175,214,179
Czech Republic, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 107 , 155 , 128 , 149 , 182 , 206 , 524 ,469,290,226,182,191,193,146,137,104,159,168,128,173,174,224,281,179
Kazakhstan, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 24 , 42 , 56 , 152 , 593 , 884 , 537 ,449,500,420,542,545,506,408,436,394,431,377,381,462,347,293,327,178
St. Lucia, 69 , 89 , 133 , 69 , 68 , 80 , 95 , 92 , 77 , 76 , 95 , 126 , 120 , 142 , 76 , 100 , 111 , 84 , 57 , 83 ,94,116,81,89,110,185,190,255,298,257,249,261,382,392,505,437,170
"Benin, Peoples Republic of", 2 , 5 , 4 , 3 , 4 , 3 , 6 , 4 , 20 , 14 , 13 , 13 , 25 , 25 , 18 , 15 , 29 , 32 , 19 , 37 ,35,66,70,78,112,95,116,183,205,238,290,284,390,397,242,259,165
Rwanda, 6 , 6 , 8 , 4 , 3 , 0 , 9 , 3 , 12 , 11 , 16 , 18 , 53 , 68 , 73 , 159 , 227 , 144 , 192 , 410 ,383,285,215,290,299,377,360,420,358,415,396,492,562,415,335,362,165
Zimbabwe, 72 , 114 , 102 , 44 , 32 , 29 , 43 , 68 , 99 , 187 , 129 , 94 , 61 , 72 , 78 , 58 , 39 , 44 , 43 , 49 ,98,110,191,669,"1,450",615,454,663,611,508,494,434,437,408,332,238,164
Argentina, 368 , 426 , 626 , 241 , 237 , 196 , 213 , 519 , 374 , 538 , 678 , 763 ," 1,023 "," 1,022 ", 366 , 380 , 396 , 391 , 349 , 318 ,427,635,863,"1,745","1,592","1,153",847,620,540,467,459,278,263,282,214,237,162
"Togo, Republic of", 5 , 5 , 2 , 3 , 6 , 5 , 8 , 23 , 11 , 14 , 17 , 23 , 39 , 38 , 18 , 49 , 75 , 52 , 53 , 52 ,57,94,105,106,163,157,149,235,351,400,354,261,299,315,248,258,160
Chile," 1,233 "," 1,069 "," 1,078 ", 781 , 681 , 533 , 633 ," 1,454 ", 990 ," 1,023 "," 1,286 "," 1,749 "," 1,175 ", 697 , 352 , 273 , 244 , 325 , 376 , 397 ,366,369,400,347,383,384,427,530,350,376,340,174,291,273,299,258,145
Singapore, 241 , 301 , 337 , 169 , 128 , 139 , 205 , 372 , 808 ," 1,269 ", 843 , 657 , 492 , 474 , 375 , 407 , 409 , 287 , 231 , 437 ,444,473,588,391,311,392,298,689,734,366,805,219,145,141,179,255,140
Switzerland, 806 , 811 , 634 , 370 , 326 , 314 , 294 , 565 , 508 , 523 , 505 , 602 , 666 , 728 , 475 , 687 , 823 , 666 , 510 , 536 ,471,383,276,346,337,269,258,308,357,328,287,266,243,200,203,236,136
Armenia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 22 , 21 , 66 , 75 , 102 , 115 , 89 , 112 ,124,87,132,153,147,224,218,198,205,267,252,236,258,208,205,303,134
Burkina-Faso, 2 , 1 , 3 , 2 , 3 , 2 , 7 , 18 , 6 , 4 , 4 , 22 , 21 , 19 , 3 , 12 , 16 , 23 , 14 , 20 ,31,46,37,34,97,91,147,136,139,162,186,144,269,322,339,236,134
"Djibouti, Republic of", 0 , 1 , 1 , 5 , 1 , 0 , 4 , 2 , 4 , 6 , 10 , 14 , 34 , 23 , 10 , 13 , 19 , 28 , 30 , 85 ,145,96,62,43,67,93,68,50,47,70,123,127,164,204,99,147,130
Ecuador, 238 , 207 , 184 , 155 , 179 , 208 , 240 , 344 , 265 , 278 , 552 , 643 , 644 , 547 , 431 , 368 , 310 , 317 , 295 , 291 ,337,353,417,362,417,491,524,419,437,374,353,348,279,418,334,215,128
Cambodia, 12 , 19 , 26 , 33 , 10 , 7 , 8 , 14 , 15 , 27 , 34 , 38 , 93 , 418 , 371 , 286 , 216 , 313 , 241 , 165 ,244,259,229,277,348,370,529,460,354,203,200,196,233,289,237,205,123
Lithuania, 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 5 , 11 , 43 , 63 , 84 , 103 , 87 , 114 , 74 , 96 ,116,183,125,194,220,166,112,108,109,63,57,52,77,145,154,133,123
Uzbekistan, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 44 , 33 , 34 , 58 , 75 , 97 , 106 ,101,102,143,155,175,330,262,284,215,288,289,162,234,167,164,189,121
Kyrgyzstan, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 8 , 10 , 8 , 43 , 63 , 68 ,56,95,124,99,245,173,161,135,167,173,157,159,278,123,126,132,118
Guatemala, 114 , 108 , 113 , 366 , 598 , 975 ," 1,265 "," 1,060 ", 702 , 773 ," 1,023 "," 2,156 "," 1,906 "," 1,392 ", 757 , 640 , 655 , 519 , 358 , 287 ,328,269,242,179,217,190,230,256,263,264,265,289,358,348,317,240,114
"Kosovo, Republic of", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,0,0,5,110,226,208,147,171,167,227,111
"Mali, Republic of", 4 , 4 , 7 , 3 , 3 , 4 , 3 , 5 , 4 , 7 , 13 , 31 , 90 , 51 , 35 , 36 , 67 , 26 , 43 , 30 ,66,67,62,72,87,87,114,143,154,164,170,155,191,190,195,190,106
Saudi Arabia, 0 , 0 , 1 , 4 , 1 , 2 , 5 , 7 , 29 , 41 , 22 , 47 , 71 , 55 , 43 , 40 , 84 , 78 , 71 , 74 ,89,98,71,70,128,198,252,188,249,246,330,278,286,267,232,196,103
Fiji, 632 , 705 , 814 , 554 , 389 , 446 , 361 , 523 , 561 , 736 ," 1,172 "," 1,619 "," 1,782 "," 1,317 "," 1,016 ", 674 , 621 , 448 , 388 , 360 ,458,643,611,561,495,298,277,304,321,311,398,316,270,228,254,222,102
Yemen, 3 , 6 , 1 , 6 , 9 , 20 , 9 , 14 , 8 , 22 , 21 , 31 , 47 , 46 , 51 , 73 , 144 , 121 , 141 , 134 ,122,181,162,96,112,153,130,122,129,128,211,159,174,217,149,206,98
Bosnia-Herzegovina, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 258 ," 2,095 "," 2,090 "," 3,006 "," 2,599 "," 2,214 "," 2,789 "," 2,737 ",853,801,433,267,188,210,217,209,182,156,168,140,121,119,147,195,92
Uganda, 13 , 16 , 17 , 38 , 32 , 29 , 40 , 70 , 60 , 47 , 75 , 69 , 143 , 79 , 54 , 91 , 62 , 43 , 40 , 51 ,64,94,90,117,160,239,201,170,204,185,216,213,222,204,170,182,92
Sweden, 281 , 308 , 222 , 176 , 128 , 158 , 187 , 198 , 171 , 182 , 130 , 167 , 179 , 203 , 192 , 176 , 161 , 151 , 123 , 170 ,138,184,149,161,129,205,139,193,165,167,159,133,140,140,157,176,85
Latvia, 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 10 , 17 , 23 , 47 , 80 , 73 , 67 , 123 , 119 , 127 ,130,173,156,110,94,77,69,88,67,85,70,103,199,215,163,130,81
Madagascar, 22 , 10 , 13 , 32 , 30 , 18 , 10 , 42 , 36 , 27 , 28 , 37 , 34 , 55 , 16 , 30 , 35 , 56 , 48 , 34 ,32,57,59,48,79,88,96,115,118,169,178,148,165,229,112,115,81
Azerbaijan, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 17 , 18 , 23 , 26 , 38 , 62 , 54 ,77,98,186,167,230,359,236,203,125,165,209,137,160,57,63,112,80
Macedonia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 65 , 225 , 193 , 138 , 71 , 106 , 180 ,237,291,353,638,442,285,256,211,191,198,188,130,126,112,117,220,78
Costa Rica, 28 , 35 , 42 , 51 , 75 , 113 , 79 , 116 , 104 , 92 , 99 , 156 , 216 , 184 , 83 , 89 , 118 , 135 , 103 , 100 ,106,134,106,105,165,188,279,281,246,217,190,149,183,122,165,121,69
Barbados, 372 , 376 , 299 , 244 , 265 , 285 , 251 , 303 , 265 , 275 , 327 , 373 , 336 , 380 , 179 , 211 , 176 , 153 , 139 , 114 ,121,148,122,73,90,111,97,130,134,125,121,97,132,97,133,140,68
"Congo, People's Republic of the", 2 , 0 , 1 , 0 , 1 , 2 , 4 , 1 , 1 , 5 , 3 , 6 , 13 , 4 , 14 , 11 , 15 , 25 , 44 , 102 ,119,106,84,112,142,134,143,87,72,69,75,81,91,114,84,131,67
Bhutan, 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 2 , 1 , 1 , 4 , 2 , 2 , 1 , 3 ,6,6,8,7,1,5,10,7,36,865,"1,464","1,879","1,075",487,356,387,65
Georgia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 22 , 27 , 67 , 49 , 46 , 92 , 46 ,83,124,123,127,106,114,125,132,112,128,126,139,148,125,102,103,65
Austria, 234 , 238 , 201 , 117 , 127 , 165 , 196 , 265 , 198 , 227 , 158 , 189 , 131 , 132 , 133 , 153 , 191 , 152 , 190 , 117 ,97,133,87,113,118,122,102,98,91,109,124,84,102,90,98,118,60
Bolivia, 44 , 52 , 42 , 49 , 38 , 44 , 79 , 165 , 63 , 68 , 71 , 214 , 247 , 180 , 75 , 61 , 96 , 43 , 33 , 42 ,32,72,57,59,85,134,139,107,142,214,180,86,83,107,95,74,59
Grenada, 154 , 181 , 231 , 165 , 167 , 168 , 235 , 302 , 165 , 170 , 172 , 268 , 434 , 492 , 235 , 364 , 366 , 387 , 330 , 294 ,372,354,259,222,296,283,363,360,284,325,208,173,142,170,137,115,57
"Chad, Republic of", 0 , 0 , 1 , 0 , 0 , 1 , 2 , 3 , 7 , 14 , 8 , 2 , 10 , 13 , 6 , 5 , 38 , 26 , 30 , 122 ,148,90,75,64,92,125,96,131,95,87,98,79,97,86,82,87,50
Sierra Leone, 6 , 6 , 7 , 3 , 12 , 10 , 13 , 57 , 26 , 18 , 12 , 41 , 59 , 24 , 36 , 48 , 63 , 83 , 53 , 42 ,308,386,412,391,347,191,138,91,103,70,63,96,72,63,60,94,50
"Mongolia, People's Republic of", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 8 , 1 , 0 , 1 ,17,17,20,28,34,59,64,82,59,118,169,103,68,99,93,45,49
"Tanzania, United Republic of", 635 , 832 , 621 , 474 , 473 , 460 , 403 , 538 , 532 , 662 , 739 , 577 , 398 , 407 , 286 , 313 , 264 , 211 , 138 , 157 ,200,300,298,319,309,274,291,194,230,136,200,215,224,182,133,158,49
Denmark, 272 , 293 , 299 , 106 , 93 , 73 , 93 , 109 , 129 , 129 , 118 , 111 , 158 , 186 , 93 , 111 , 70 , 83 , 63 , 81 ,93,81,70,89,89,62,101,97,108,81,92,93,93,81,69,75,48
"Botswana, Republic of", 10 , 1 , 3 , 3 , 7 , 4 , 2 , 3 , 8 , 8 , 2 , 2 , 4 , 4 , 0 , 2 , 3 , 2 , 0 , 2 ,3,2,4,4,9,7,11,8,28,15,42,53,64,77,103,96,47
"Bahama Islands, The", 26 , 23 , 38 , 12 , 21 , 28 , 23 , 18 , 22 , 32 , 18 , 29 , 16 , 20 , 21 , 17 , 30 , 17 , 14 , 13 ,14,20,17,14,13,14,18,21,30,27,25,40,60,55,61,74,46
Namibia, 0 , 5 , 5 , 3 , 2 , 1 , 1 , 4 , 3 , 2 , 2 , 4 , 0 , 5 , 0 , 9 , 2 , 0 , 0 , 4 ,9,9,10,7,9,6,19,13,26,14,16,22,24,83,120,102,43
Belize, 16 , 27 , 13 , 21 , 37 , 26 , 25 , 23 , 53 , 33 , 38 , 41 , 27 , 37 , 41 , 43 , 27 , 33 , 20 , 37 ,28,24,35,16,25,37,24,28,48,38,39,35,33,53,53,27,42
Finland, 208 , 205 , 170 , 70 , 83 , 69 , 68 , 92 , 89 , 78 , 73 , 63 , 76 , 98 , 99 , 76 , 58 , 82 , 55 , 63 ,70,53,59,64,54,67,51,62,89,63,63,72,62,76,68,83,42
Nicaragua, 18 , 21 , 27 , 55 , 126 , 468 , 670 ," 1,073 ", 969 , 705 , 710 ," 1,517 "," 2,062 "," 1,069 ", 261 , 251 , 248 , 195 , 124 , 144 ,140,108,69,88,67,79,96,76,123,114,91,122,106,96,118,96,41
"South Sudan, Republic Of", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,0,0,0,0,0,0,6,30,27,60,41
Central African Republic, 4 , 3 , 1 , 0 , 0 , 0 , 0 , 2 , 3 , 4 , 6 , 2 , 11 , 4 , 4 , 4 , 6 , 9 , 17 , 6 ,12,6,20,10,13,49,18,30,28,19,25,18,44,169,129,456,38
Liberia, 1 , 2 , 2 , 1 , 4 , 4 , 3 , 4 , 3 , 7 , 5 , 11 , 52 , 37 , 40 , 55 , 59 , 61 , 28 , 36 ,55,60,57,139,409,579,356,153,74,94,162,106,58,39,60,155,38
"Niger, Republic of the", 0 , 0 , 1 , 1 , 0 , 0 , 0 , 4 , 0 , 1 , 1 , 7 , 7 , 4 , 2 , 13 , 7 , 14 , 12 , 19 ,20,23,30,30,38,59,57,75,75,82,80,90,95,105,62,77,38
Estonia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14 , 4 , 30 , 51 , 39 , 70 , 89 , 73 , 50 , 54 ,58,30,38,56,27,26,18,34,34,26,28,15,26,45,32,53,36
Gambia, 0 , 0 , 1 , 0 , 0 , 2 , 4 , 22 , 3 , 6 , 12 , 21 , 51 , 43 , 15 , 23 , 19 , 25 , 17 , 18 ,23,22,10,10,10,29,38,32,25,10,37,24,18,33,36,42,34
Kuwait, 1 , 0 , 8 , 2 , 1 , 4 , 4 , 9 , 19 , 19 , 26 , 31 , 96 , 109 , 99 , 130 , 187 , 108 , 121 , 80 ,113,107,74,71,74,66,35,62,53,68,67,58,73,48,49,20,34
Gabon Republic, 2 , 3 , 2 , 2 , 1 , 0 , 0 , 5 , 3 , 4 , 10 , 5 , 3 , 8 , 4 , 5 , 9 , 12 , 14 , 20 ,16,26,24,42,33,67,68,101,86,86,64,63,74,90,68,57,33
Norway, 116 , 77 , 106 , 51 , 31 , 54 , 56 , 80 , 73 , 76 , 83 , 103 , 74 , 92 , 60 , 65 , 70 , 104 , 31 , 36 ,55,78,74,77,73,57,53,73,66,75,46,49,53,59,46,50,30
"Panama, Republic of", 13 , 8 , 14 , 10 , 11 , 17 , 16 , 26 , 21 , 108 , 116 , 658 , 611 , 420 , 103 , 63 , 73 , 70 , 37 , 22 ,45,50,49,54,38,57,73,63,52,73,65,49,34,43,59,39,30
Uruguay, 128 , 132 , 146 , 105 , 90 , 92 , 137 , 269 , 99 , 144 , 111 , 229 , 299 , 437 , 125 , 164 , 171 , 117 , 87 , 93 ,75,64,91,103,130,217,175,147,159,99,93,81,47,58,43,50,26
Zambia, 11 , 17 , 11 , 7 , 16 , 9 , 15 , 23 , 44 , 68 , 77 , 69 , 73 , 46 , 51 , 41 , 34 , 72 , 34 , 51 ,39,78,50,46,56,91,77,71,64,60,102,69,46,59,46,56,26
Angola, 1 , 3 , 6 , 6 , 4 , 3 , 5 , 5 , 11 , 6 , 8 , 23 , 26 , 22 , 8 , 26 , 38 , 27 , 58 , 49 ,70,169,168,165,268,295,184,106,76,62,61,39,70,45,21,30,24
Mauritania, 5 , 0 , 3 , 3 , 1 , 1 , 1 , 4 , 3 , 6 , 4 , 5 , 7 , 8 , 6 , 3 , 10 , 11 , 6 , 11 ,15,30,27,23,60,86,124,96,112,83,74,54,77,57,84,104,23
St. Kitts-Nevis, 5 , 3 , 0 , 16 , 21 , 17 , 36 , 43 , 39 , 45 , 32 , 31 , 52 , 29 , 20 , 20 , 18 , 22 , 12 , 9 ,11,11,8,12,8,11,3,10,25,11,21,12,21,17,24,23,22
Paraguay, 45 , 26 , 32 , 40 , 48 , 36 , 34 , 72 , 53 , 48 , 56 , 51 , 94 , 75 , 46 , 39 , 38 , 30 , 25 , 34 ,29,34,60,88,74,75,88,98,94,91,89,83,55,66,38,36,21
Antigua and Barbuda, 0 , 0 , 0 , 0 , 42 , 52 , 51 , 61 , 34 , 51 , 31 , 59 , 61 , 44 , 18 , 23 , 21 , 27 , 19 , 12 ,13,25,17,25,14,24,32,15,32,38,27,37,50,25,50,51,19
Malawi, 5 , 4 , 6 , 3 , 2 , 0 , 4 , 7 , 1 , 4 , 10 , 9 , 4 , 12 , 6 , 5 , 6 , 11 , 8 , 14 ,12,5,7,3,17,23,15,13,5,10,28,16,9,10,20,23,19
Macau, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,1,15,28,21,21,21,32,16,12,21,21,13,33,29,37,21,16
Tajikistan, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 5 , 5 , 2 , 11 , 4 , 4 ,5,20,9,7,14,85,46,44,15,50,52,47,34,39,24,43,16
United Arab Emirates, 0 , 2 , 2 , 1 , 2 , 0 , 5 , 4 , 1 , 17 , 7 , 23 , 27 , 11 , 13 , 8 , 33 , 27 , 25 , 24 ,27,41,37,32,41,31,42,37,33,37,86,60,54,46,40,33,15
Slovenia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 46 , 47 , 22 , 41 , 26 , 15 , 35 ,24,22,16,18,17,23,11,29,18,27,12,13,36,20,30,41,13
Bahrain, 0 , 2 , 1 , 1 , 1 , 3 , 0 , 2 , 10 , 9 , 6 , 9 , 9 , 11 , 14 , 10 , 17 , 28 , 14 , 27 ,34,13,17,15,12,12,12,22,9,35,28,21,39,32,25,33,12
Dominica, 104 , 81 , 94 , 65 , 81 , 79 , 50 , 89 , 75 , 96 , 77 , 127 , 125 , 106 , 57 , 77 , 66 , 68 , 56 , 67 ,72,82,62,63,50,59,72,79,60,59,43,36,43,48,34,28,12
"Montenegro, Republic of", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,0,7,15,8,13,18,24,9,7,23,12
Laos, 11 , 6 , 16 , 16 , 7 , 17 , 21 , 20 , 22 , 44 , 34 , 33 , 63 , 44 , 52 , 40 , 24 , 31 , 16 , 31 ,36,40,49,22,38,41,74,53,32,39,54,22,25,15,28,19,11
Cyprus, 132 , 128 , 84 , 46 , 46 , 43 , 48 , 48 , 56 , 55 , 27 , 37 , 29 , 42 , 24 , 16 , 31 , 36 , 19 , 15 ,16,22,13,17,11,7,9,4,7,6,18,6,12,16,28,27,10
Swaziland, 4 , 1 , 1 , 0 , 10 , 7 , 1 , 2 , 7 , 3 , 4 , 1 , 4 , 2 , 3 , 5 , 2 , 4 , 3 , 4 ,2,2,1,0,8,7,7,5,6,10,3,13,17,40,38,36,10
Iceland, 17 , 33 , 10 , 9 , 13 , 6 , 11 , 11 , 7 , 3 , 2 , 11 , 17 , 15 , 11 , 9 , 14 , 11 , 20 , 17 ,9,26,11,17,23,10,2,15,13,15,30,38,42,72,38,32,9
Turkmenistan, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 10 , 6 , 4 , 2 ,7,10,11,22,16,40,26,37,13,20,30,20,19,14,5,8,8
Comoros, 0 , 2 , 2 , 0 , 0 , 2 , 1 , 0 , 2 , 2 , 1 , 3 , 0 , 2 , 4 , 4 , 5 , 2 , 4 , 1 ,3,14,2,11,6,5,7,11,3,19,22,14,18,22,8,11,7
Lesotho, 1 , 1 , 1 , 2 , 7 , 5 , 3 , 1 , 6 , 5 , 1 , 4 , 4 , 7 , 2 , 3 , 9 , 2 , 1 , 4 ,1,0,2,2,2,4,0,4,1,8,7,1,0,6,2,1,7
"Equatorial Guinea, Republic of", 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 2 , 1 , 0 , 0 , 0 , 3 , 1 , 0 ,4,1,2,2,2,3,4,5,1,5,4,4,4,11,2,0,5
Brunei, 79 , 6 , 8 , 2 , 2 , 4 , 12 , 16 , 103 , 63 , 44 , 65 , 31 , 36 , 14 , 17 , 4 , 6 , 1 , 3 ,6,3,4,6,3,4,5,11,10,5,12,6,3,6,3,9,4
Malta, 191 , 242 , 153 , 64 , 60 , 68 , 76 , 78 , 111 , 68 , 38 , 29 , 28 , 12 , 10 , 15 , 21 , 12 , 15 , 13 ,10,24,16,28,28,28,24,7,21,18,17,8,9,4,9,10,4
Guinea-Bissau, 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 4 , 4 , 4 , 1 , 2 , 2 , 2 , 3 , 4 , 0 , 1 ,1,3,2,6,4,7,12,7,2,0,2,2,4,0,4,5,3
"Korea, People's Democratic Republic of", 1 , 1 , 3 , 1 , 4 , 3 , 0 , 0 , 0 , 0 , 1 , 4 , 16 , 0 , 1 , 0 , 0 , 4 , 1 , 4 ,6,8,11,18,15,14,10,7,19,11,45,97,66,17,13,12,3
Oman, 0 , 0 , 0 , 8 , 0 , 0 , 0 , 3 , 0 , 1 , 5 , 0 , 5 , 1 , 12 , 11 , 2 , 7 , 4 , 3 ,7,12,7,11,12,14,18,16,10,7,14,10,13,11,8,5,3
Luxembourg, 14 , 4 , 2 , 5 , 1 , 3 , 6 , 2 , 4 , 8 , 1 , 3 , 1 , 18 , 9 , 1 , 7 , 9 , 3 , 1 ,5,5,17,9,10,10,9,9,3,5,8,11,6,7,8,8,2
Mozambique, 0 , 0 , 7 , 2 , 3 , 1 , 3 , 1 , 5 , 5 , 3 , 6 , 6 , 8 , 3 , 5 , 1 , 2 , 8 , 8 ,3,2,5,3,8,5,9,5,5,12,7,3,4,12,3,8,2
Papua New Guinea, 0 , 2 , 2 , 4 , 2 , 2 , 1 , 1 , 3 , 0 , 1 , 2 , 4 , 0 , 5 , 1 , 2 , 0 , 0 , 1 ,4,2,0,4,1,1,0,0,9,1,3,0,3,3,0,7,2
Qatar, 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 2 , 6 , 5 , 3 , 2 , 4 , 4 , 7 , 3 , 7 ,4,21,4,4,5,11,2,5,9,6,18,3,14,6,9,0,2
"Samoa, Independent State Of", 3 , 7 , 4 , 1 , 3 , 0 , 3 , 0 , 1 , 1 , 2 , 3 , 1 , 5 , 3 , 2 , 2 , 3 , 4 , 0 ,1,2,2,3,3,2,0,1,4,2,5,3,2,0,1,2,2
Seychelles, 5 , 15 , 3 , 4 , 1 , 8 , 13 , 24 , 19 , 25 , 78 , 233 , 369 , 191 , 34 , 19 , 27 , 12 , 18 , 17 ,15,9,4,13,15,25,8,9,18,4,10,10,6,5,2,1,2
Czechoslovakia, 172 , 388 , 552 , 336 , 415 , 567 , 578 , 770 , 758 , 997 ," 1,218 ", 787 , 798 , 372 , 159 , 124 , 11 , 5 , 3 , 2 ,0,3,4,1,2,2,2,1,0,4,0,0,0,0,0,0,1
Monaco, 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 3 , 0 , 0 , 3 , 1 , 1 , 1 , 0 , 0 , 0 ,1,1,1,1,1,1,1,1,0,0,4,1,3,1,0,1,1
Nevis, 0 , 0 , 0 , 0 , 1 , 0 , 1 , 4 , 2 , 1 , 0 , 1 , 4 , 1 , 1 , 0 , 0 , 0 , 0 , 0 ,3,0,3,0,0,2,0,0,4,2,0,0,0,0,0,0,1
Pitcairn Island, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Surinam, 15 , 10 , 21 , 12 , 5 , 16 , 7 , 46 , 16 , 24 , 26 , 13 , 53 , 51 , 32 , 58 , 51 , 35 , 22 , 11 ,16,22,22,22,17,15,16,20,9,12,13,11,16,4,6,10,1
Western Sahara, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
