"Canada - Admissions of Permanent Residents by Country of Citizenship (Q1-Q2 2016 ranking), 1980 - Q2 2016*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Citizenship,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q2 2016
Egypt, 612 , 660 , 755 , 455 , 447 , 348 , 514 ," 1,017 "," 1,085 "," 1,663 "," 2,365 "," 1,860 "," 1,558 "," 1,598 "," 2,375 "," 2,821 "," 2,561 "," 2,137 "," 1,387 "," 1,378 ","1,640","2,594","2,041","2,237","2,393","2,495","2,190","2,355","3,347","3,495","5,984","4,663","5,550","4,165","3,159","3,763","1,717"
Jamaica," 3,198 "," 2,634 "," 2,661 "," 2,455 "," 2,508 "," 2,938 "," 4,649 "," 5,415 "," 3,924 "," 3,946 "," 4,945 "," 5,056 "," 5,991 "," 6,065 "," 3,913 "," 3,619 "," 3,282 "," 2,847 "," 2,253 "," 2,358 ","2,477","2,834","2,520","2,054","2,237","1,945","1,722","2,141","2,334","2,457","2,321","2,059","2,174","2,480","3,050","3,426","1,651"
Haiti," 1,666 "," 3,692 "," 3,498 "," 2,860 "," 1,418 "," 1,321 "," 1,753 "," 2,132 "," 1,829 "," 2,377 "," 2,379 "," 2,829 "," 2,399 "," 3,655 "," 2,100 "," 2,014 "," 1,955 "," 1,645 "," 1,295 "," 1,439 ","1,628","2,433","2,172","1,929","1,652","1,681","1,619","1,598","2,488","2,079","4,733","6,476","5,856","4,147","3,315","2,727","1,646"
Iraq, 262 , 245 , 260 , 380 , 428 , 231 , 265 , 384 , 619 , 911 , 557 ," 1,013 "," 1,498 "," 2,103 "," 1,500 "," 2,034 "," 2,675 "," 2,564 "," 2,037 "," 2,159 ","2,589","2,818","2,433","1,513","1,796","2,226","1,788","2,406","3,543","5,452","5,941","6,196","4,036","4,912","3,894","3,980","1,482"
Afghanistan, 16 , 39 , 39 , 47 , 71 , 340 , 496 , 741 , 828 ," 1,076 "," 1,028 "," 1,378 "," 1,170 ", 713 , 858 ," 1,537 "," 2,212 "," 2,555 "," 1,999 "," 2,395 ","3,325","4,067","3,697","3,479","2,978","3,436","3,010","2,652","2,110","1,745","1,758","2,204","2,635","2,003","1,489","2,587","1,475"
Israel," 1,403 "," 1,711 "," 1,334 ", 541 , 446 , 680 ," 1,212 "," 1,497 "," 1,389 "," 1,762 "," 1,596 "," 1,358 "," 1,259 "," 1,584 "," 1,699 "," 2,224 "," 2,515 "," 2,998 "," 3,172 "," 2,387 ","2,508","2,435","2,539","2,315","2,788","2,446","2,618","2,401","2,559","2,316","2,756","1,967","2,132","1,945","1,899","2,132","1,466"
Vietnam," 1,191 "," 1,829 "," 2,163 "," 3,404 "," 7,583 "," 5,907 "," 2,741 "," 1,406 "," 1,411 "," 3,004 "," 3,801 "," 5,870 "," 5,416 "," 6,547 "," 5,105 "," 3,723 "," 2,462 "," 1,752 "," 1,631 "," 1,419 ","1,797","2,114","2,286","1,709","1,814","1,852","3,152","2,574","1,784","2,171","1,942","1,723","1,732","2,112","2,494","2,591","1,376"
Colombia, 266 , 326 , 360 , 244 , 235 , 214 , 257 , 376 , 352 , 439 , 614 , 652 , 582 , 464 , 375 , 371 , 381 , 578 , 929 ," 1,306 ","2,260","2,966","3,284","4,317","4,565","6,424","6,535","5,358","5,449","4,655","5,218","4,366","3,736","3,632","2,859","2,181","1,333"
"Congo, Democratic Republic of the", 15 , 16 , 17 , 17 , 28 , 11 , 38 , 66 , 46 , 48 , 116 , 223 , 439 , 404 , 309 , 529 , 796 , 663 , 768 , 937 ,"1,228","1,243","1,100","1,233","1,459","1,508","1,621","1,466","1,396","1,580","1,238","1,217","1,711","2,050","1,749","1,715","1,319"
"Ireland, Republic of", 781 , 895 , 707 , 298 , 327 , 287 , 481 ," 1,078 "," 1,415 "," 1,378 ", 845 , 705 , 533 , 436 , 331 , 231 , 276 , 220 , 170 , 162 ,178,190,177,192,244,224,283,300,412,395,548,524,725,"1,015","1,977","2,081","1,287"
Russia, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 172 , 906 ," 1,327 "," 1,819 "," 2,640 "," 3,708 "," 4,388 "," 4,053 ","3,840","4,353","3,941","3,719","3,989","3,972","3,117","2,983","2,690","2,931","2,288","1,963","2,077","2,462","1,772","2,147","1,286"
Algeria, 80 , 67 , 71 , 69 , 63 , 44 , 69 , 132 , 242 , 434 , 491 , 872 , 795 , 717 , 595 ," 1,106 "," 2,054 "," 1,842 "," 2,292 "," 2,389 ","2,865","3,418","3,406","3,071","3,617","3,625","4,806","3,623","4,007","5,391","4,753","4,326","3,762","4,325","3,653","2,835","1,274"
Lebanon," 1,409 "," 1,119 "," 1,159 ", 789 ," 1,253 "," 1,683 "," 2,576 "," 3,803 "," 3,970 "," 7,157 "," 13,568 "," 12,567 "," 6,915 "," 4,902 "," 2,751 "," 2,228 "," 1,919 "," 1,472 "," 1,329 "," 1,594 ","1,902","2,573","2,330","3,177","3,290","3,708","3,802","3,467","3,565","3,078","3,433","3,071","1,614","2,175","2,224","2,135","1,069"
Morocco, 325 , 471 , 447 , 335 , 248 , 328 , 388 , 505 , 685 ," 1,060 "," 1,313 "," 1,390 "," 1,055 "," 1,042 ", 660 ," 1,069 ", 939 ," 1,095 "," 1,262 "," 1,870 ","2,665","4,067","4,173","3,369","3,685","2,939","3,321","4,019","4,225","5,532","6,244","4,391","3,878","3,276","2,491","2,736","1,056"
Ethiopia, 98 , 59 , 54 , 98 , 154 , 157 , 302 , 555 , 690 ," 1,096 ", 890 ," 1,168 "," 1,876 "," 1,779 "," 1,204 ", 870 , 999 , 739 , 563 , 678 ,"1,071","1,061",818,"1,397","1,536","1,505","1,799","1,508","1,611","1,287","1,865","2,163","1,859","1,608","1,339","1,365","1,012"
Australia, 702 , 639 , 484 , 317 , 317 , 319 , 356 , 467 , 410 , 553 , 620 , 640 , 734 , 886 , 702 , 668 , 699 , 623 , 479 , 523 ,598,799,747,876,929,909,875,"1,032","1,018","1,018",933,850,983,"1,120","1,295","1,414","1,007"
"Cameroon, Federal Republic of", 9 , 2 , 16 , 7 , 8 , 13 , 11 , 18 , 20 , 38 , 34 , 66 , 71 , 78 , 67 , 122 , 178 , 104 , 197 , 220 ,244,206,220,295,429,594,681,"1,025","1,278","1,344","1,802","1,636","2,503","2,438","2,107","2,034",963
Brazil, 211 , 220 , 192 , 139 , 145 , 130 , 205 , 244 , 394 , 650 , 650 , 877 ," 1,066 ", 866 , 566 , 572 , 586 , 591 , 531 , 626 ,844,847,745,839,917,969,"1,181","1,745","2,137","2,510","2,598","1,508","1,641","1,712","1,916","1,750",957
Sri Lanka, 185 , 371 , 290 , 197 ," 1,086 ", 845 ," 1,838 "," 4,447 "," 2,779 "," 2,758 "," 3,525 "," 7,266 "," 13,102 "," 9,563 "," 7,150 "," 9,368 "," 6,484 "," 5,415 "," 3,566 "," 4,982 ","6,077","5,860","5,272","4,886","4,489","4,918","4,651","4,097","4,751","4,543","4,420","3,310","3,338","2,394","2,604","1,795",932
Germany," 1,626 "," 1,977 "," 3,062 "," 2,376 "," 1,610 "," 1,441 "," 1,233 "," 1,704 "," 1,482 "," 1,706 "," 1,273 "," 1,273 "," 1,181 "," 1,488 "," 1,255 "," 1,553 "," 1,686 "," 1,397 "," 1,363 "," 1,717 ","1,702","1,455","1,375","1,860","2,019","2,226","2,767","2,448","3,834","3,886","2,955","2,016","1,699","1,216","1,273","1,248",735
Romania, 375 , 438 , 583 , 543 , 524 , 604 , 656 ," 1,202 "," 1,106 "," 1,582 "," 2,252 "," 2,337 "," 3,147 "," 3,676 "," 3,495 "," 4,279 "," 3,909 "," 3,993 "," 3,033 "," 3,538 ","4,532","5,651","5,764","5,540","5,755","5,048","4,468","3,834","2,836","2,076","1,922","1,776","1,588","1,512","1,553","1,183",734
